Rank,W,L,W/L%,GB,PS/G,PA/G,SRS,Team
Cleveland Cavaliers (1),35,6,0.854,—,122.1,112.1,8.48,
Boston Celtics (2),29,13,0.69,6.5,117.5,108.6,7.89,
New York Knicks (3),27,16,0.628,9.0,117.0,111.1,4.32,
Milwaukee Bucks (4),24,17,0.585,11.0,114.0,111.1,1.64,
Indiana Pacers (5),24,19,0.558,12.0,115.2,114.6,0.15,
Atlanta Hawks (6),22,19,0.537,13.0,117.2,119.0,-2.2,
Orlando Magic (7),23,21,0.523,13.5,104.2,104.3,-0.29,
Miami Heat (8),21,20,0.512,14.0,111.2,110.0,0.51,
Detroit Pistons (9),21,21,0.5,14.5,112.3,113.5,-1.79,
Chicago Bulls (10),18,25,0.419,18.0,117.2,120.5,-3.72,
Philadelphia 76ers (11),15,26,0.366,20.0,107.5,111.6,-4.33,
Brooklyn Nets (12),14,29,0.326,22.0,106.6,114.0,-6.76,
Charlotte Hornets (13),10,28,0.263,23.5,107.0,112.7,-5.74,
Toronto Raptors (14),10,32,0.238,25.5,111.0,118.5,-5.69,
Washington Wizards (15),6,35,0.146,29.0,108.6,122.8,-12.07,
,35,7,0.833,—,116.4,103.6,12.97,Oklahoma City Thunder (1)
,28,13,0.683,6.5,114.2,107.9,6.84,Houston Rockets (2)
,27,15,0.643,8.0,123.4,115.1,7.3,Memphis Grizzlies (3)
,26,16,0.619,9.0,120.1,115.5,5.1,Denver Nuggets (4)
,24,17,0.585,10.5,109.7,106.5,3.99,Los Angeles Clippers (5)
,22,18,0.55,12.0,111.2,113.9,-2.27,Los Angeles Lakers (6)
,23,19,0.548,12.0,115.4,111.8,4.01,Dallas Mavericks (7)
,22,20,0.524,13.0,110.1,108.0,2.62,Minnesota Timberwolves (8)
,22,20,0.524,13.0,116.7,113.9,2.18,Sacramento Kings (9)
,21,20,0.512,13.5,113.2,114.3,-1.94,Phoenix Suns (10)
,21,20,0.512,13.5,111.4,110.8,1.58,Golden State Warriors (11)
,19,22,0.463,15.5,111.6,113.0,-1.16,San Antonio Spurs (12)
,14,28,0.333,21.0,107.9,116.7,-7.98,Portland Trail Blazers (13)
,11,32,0.256,24.5,108.9,117.2,-7.73,New Orleans Pelicans (14)
,10,30,0.25,24.0,111.3,118.1,-6.5,Utah Jazz (15)
