Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Shai Gilgeous-Alexander,26.0,OKC,PG,41.0,41.0,1399.0,456.0,857.0,0.532,82.0,234.0,0.35,374.0,623.0,0.6,0.58,297.0,330.0,0.9,34.0,185.0,219.0,251.0,85.0,45.0,110.0,88.0,1291.0,0.0,
2.0,Giannis Antetokounmpo,30.0,MIL,PF,35.0,35.0,1221.0,439.0,726.0,0.605,4.0,26.0,0.154,435.0,700.0,0.621,0.607,220.0,375.0,0.587,77.0,342.0,419.0,211.0,27.0,48.0,124.0,83.0,1102.0,5.0,
3.0,Anthony Edwards,23.0,MIN,SG,42.0,42.0,1542.0,378.0,852.0,0.444,179.0,417.0,0.429,199.0,435.0,0.457,0.549,163.0,193.0,0.845,30.0,215.0,245.0,179.0,51.0,23.0,140.0,81.0,1098.0,0.0,
4.0,Jalen Brunson,28.0,NYK,PG,42.0,42.0,1478.0,374.0,773.0,0.484,98.0,252.0,0.389,276.0,521.0,0.53,0.547,245.0,296.0,0.828,19.0,107.0,126.0,312.0,37.0,2.0,101.0,92.0,1091.0,0.0,
5.0,Nikola Jokić,29.0,DEN,C,36.0,36.0,1317.0,412.0,735.0,0.561,74.0,157.0,0.471,338.0,578.0,0.585,0.611,187.0,232.0,0.806,122.0,352.0,474.0,355.0,66.0,22.0,111.0,74.0,1085.0,18.0,
6.0,Jayson Tatum,26.0,BOS,PF,39.0,39.0,1424.0,361.0,787.0,0.459,143.0,400.0,0.358,218.0,387.0,0.563,0.55,214.0,268.0,0.799,25.0,336.0,361.0,210.0,51.0,19.0,108.0,92.0,1079.0,1.0,
7.0,De'Aaron Fox,27.0,SAC,PG,39.0,39.0,1450.0,373.0,778.0,0.479,79.0,246.0,0.321,294.0,532.0,0.553,0.53,185.0,227.0,0.815,43.0,158.0,201.0,245.0,63.0,17.0,126.0,104.0,1010.0,0.0,
8.0,Tyler Herro,25.0,MIA,SG,41.0,41.0,1448.0,342.0,715.0,0.478,160.0,393.0,0.407,182.0,322.0,0.565,0.59,142.0,164.0,0.866,13.0,220.0,233.0,207.0,29.0,4.0,97.0,58.0,986.0,0.0,
9.0,Karl-Anthony Towns,29.0,NYK,C,38.0,38.0,1318.0,344.0,625.0,0.55,83.0,185.0,0.449,261.0,440.0,0.593,0.617,194.0,232.0,0.836,114.0,416.0,530.0,125.0,37.0,31.0,100.0,136.0,965.0,0.0,
10.0,Anthony Davis,31.0,LAL,C,37.0,37.0,1294.0,345.0,664.0,0.52,27.0,85.0,0.318,318.0,579.0,0.549,0.54,229.0,292.0,0.784,100.0,337.0,437.0,128.0,48.0,80.0,84.0,72.0,946.0,0.0,
11.0,Devin Booker,28.0,PHO,SG,36.0,36.0,1328.0,299.0,678.0,0.441,98.0,283.0,0.346,201.0,395.0,0.509,0.513,232.0,259.0,0.896,38.0,105.0,143.0,241.0,44.0,10.0,86.0,79.0,928.0,0.0,
