Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Tyrese Maxey,25,PHI,PG,37,37,1457,23.3,0.609,0.411,0.287,0.7,11.8,6.1,29.2,2.2,2.2,9.1,29.4,4.1,1.7,5.8,0.19,6.1,1,7,3.3,,maxeyty01
2,Deni Avdija,25,POR,SF,40,40,1414,20.8,0.612,0.382,0.584,3,18.9,10.8,31.8,1.2,1.5,15.5,28.9,3.3,1.3,4.5,0.153,4.2,0.3,4.5,2.3,,avdijde01
3,Scottie Barnes,24,TOR,PF,41,41,1409,19.6,0.581,0.218,0.262,6.9,20.1,13.4,24,1.9,4,13.4,23.8,1.9,2.3,4.2,0.144,2,2.2,4.2,2.2,,barnesc01
4,Dyson Daniels,22,ATL,SG,41,41,1401,14.1,0.525,0.146,0.186,7,14.4,10.7,24.1,2.6,1.2,16.2,16.4,0.9,1.6,2.5,0.086,-1.5,1.2,-0.4,0.6,,daniedy01
5,Mikal Bridges,29,NYK,SF,40,40,1397,17.1,0.601,0.451,0.092,3.7,11,7.3,17.3,2.3,2.6,7.1,17.2,3,1.4,4.4,0.152,2.6,1.2,3.8,2.1,,bridgmi01
6,Trey Murphy III,25,NOP,SF,39,39,1391,19.6,0.643,0.512,0.243,3.4,16,9.6,15.3,2.1,0.6,9.9,22.3,3.3,0.8,4,0.139,3.6,-0.8,2.8,1.7,,murphtr02
7,Toumani Camara,25,POR,PF,41,41,1385,10,0.556,0.676,0.169,5.6,10.9,8.2,11.4,1.4,1.2,15.4,16.5,0.4,0.9,1.3,0.046,-1.6,-0.7,-2.3,-0.1,,camarto01
8,DeMar DeRozan,36,SAC,PF,41,41,1374,18.2,0.604,0.16,0.387,1.7,9.7,5.6,18.1,2.1,0.7,6.2,21.6,3.1,0.6,3.6,0.127,0.9,0,0.9,1,,derozde01
9,Amen Thompson,23,HOU,PG,37,37,1370,18.5,0.585,0.147,0.349,8.6,14.4,11.6,19.8,1.8,1.4,14,21,2.9,1.6,4.5,0.157,1.5,0.5,2,1.4,,thompam01
10,Julius Randle,31,MIN,PF,41,41,1368,20.6,0.602,0.305,0.413,5.6,17.7,11.8,25.6,1.5,0.4,11.8,26.4,3.4,1.7,5.1,0.179,2.9,0.2,3.2,1.8,,randlju01
11,Cooper Flagg,19,DAL,SF,40,40,1363,16.4,0.556,0.226,0.283,3.7,15.4,9.7,18.9,1.8,2,11.4,23.6,0.8,1.8,2.5,0.089,-0.3,0.8,0.5,0.9,,flaggco01
12,Pascal Siakam,31,IND,PF,40,40,1354,18.9,0.561,0.252,0.34,5.2,17.2,11,20.3,1.8,1.1,9.6,28.9,1.1,1.3,2.4,0.086,2.1,-0.5,1.6,1.2,,siakapa01
13,Desmond Bane,27,ORL,SG,40,40,1353,15.1,0.561,0.321,0.25,4.1,10.7,7.4,20.5,1.1,1.3,11.5,24,1.4,1.2,2.6,0.091,0.2,-0.7,-0.5,0.5,,banede01
14,Brandon Ingram,28,TOR,SF,40,40,1350,16.2,0.566,0.285,0.266,2.8,17.3,10,17.3,1.1,2.1,12.5,27.8,0.3,1.7,2,0.071,0.7,-0.4,0.3,0.8,,ingrabr01
15,Keyonte George,22,UTA,PG,39,39,1340,18.2,0.609,0.414,0.428,1.5,11.9,6.6,31.2,1.4,0.8,15.1,27.7,2.3,0.1,2.4,0.086,2.6,-2.1,0.5,0.8,,georgke01
16,Jalen Johnson,24,ATL,SF,38,38,1340,22.1,0.609,0.269,0.322,4.4,27.2,15.7,35.1,1.7,1.4,15,26.8,2.6,1.8,4.3,0.155,3.7,1.4,5.1,2.4,,johnsja05
17,Nickeil Alexander-Walker,27,ATL,SG,40,33,1318,15.2,0.585,0.501,0.237,2,10,6,14.5,1.5,1.6,10.3,25,0.9,1,1.9,0.068,0.5,-1.4,-0.8,0.4,,alexani01
18,Jamal Murray,28,DEN,PG,37,37,1317,22.4,0.616,0.407,0.238,1.5,12.4,7.2,32.4,1.4,0.8,10,28.4,3.9,0.8,4.7,0.171,5.7,-1.8,4,2,,murraja01
19,James Harden,36,LAC,PG,37,37,1316,22.3,0.607,0.516,0.495,2.1,13.2,7.8,37.1,1.8,0.9,14.3,30.8,3.4,0.9,4.3,0.158,5.1,-1,4.1,2,,hardeja01
20,Miles Bridges,27,CHO,PF,39,39,1302,16.5,0.564,0.448,0.269,3.2,18.3,10.9,17.2,0.8,1.4,7.8,23.6,2.2,0.9,3.1,0.114,1.6,-0.8,0.8,0.9,,bridgmi02
21,Derrick White,31,BOS,SG,38,38,1302,17.3,0.532,0.593,0.178,2.8,11.4,7.1,21.4,1.9,4.5,9.6,24.4,1.8,1.5,3.2,0.12,2.7,0.4,3.1,1.7,,whitede01
22,Immanuel Quickley,26,TOR,PG,40,40,1300,15.4,0.552,0.532,0.238,1.9,12.6,7.2,26.7,1.7,0.4,10.1,21.7,1.6,1.5,3.1,0.114,1.2,0.2,1.4,1.1,,quickim01
23,Shai Gilgeous-Alexander,27,OKC,PG,39,39,1298,31.6,0.664,0.252,0.464,1.5,12.8,7.4,33.2,2,2.3,7.5,33.6,6.7,2.5,9.2,0.339,9.3,2.8,12,4.6,,gilgesh01
24,Donte DiVincenzo,29,MIN,SG,41,41,1290,14.1,0.585,0.757,0.162,3.6,12,7.9,17.7,2,1.2,10.3,17.1,2,1.6,3.6,0.132,1,0.9,1.8,1.3,,divindo01
25,Donovan Mitchell,29,CLE,SG,38,38,1286,23.8,0.628,0.48,0.289,2.6,12.6,7.6,27.6,2.1,0.7,11.2,32.5,3.4,1.3,4.7,0.174,6.1,-0.1,6,2.6,,mitchdo01
26,Payton Pritchard,28,BOS,PG,39,39,1282,17.4,0.564,0.53,0.139,3.4,11.8,7.6,22.9,1.3,0.3,6.8,21.2,3.2,0.9,4.1,0.154,2.4,-0.7,1.7,1.2,,pritcpa01
27,Onyeka Okongwu,25,ATL,C,40,29,1276,15.8,0.584,0.414,0.22,6.3,20.9,13.6,15,1.7,2.8,11.6,20.3,1.2,1.6,2.8,0.105,-0.4,0.3,-0.1,0.6,,okongon01
28,Jalen Brunson,29,NYK,PG,37,37,1276,21.9,0.6,0.37,0.288,1.7,8.8,5.1,29.5,1,0.2,8.9,31.4,3.9,0.6,4.5,0.17,5.2,-1.9,3.3,1.7,,brunsja01
29,Kevin Durant,37,HOU,SF,35,35,1274,21.1,0.638,0.304,0.34,1.2,15.3,8.3,19.1,0.9,2.5,12.8,26.9,3.7,1.3,5,0.189,4.3,0,4.2,2,,duranke01
30,Ryan Rollins,23,MIL,PG,40,35,1271,15.9,0.571,0.428,0.156,2.9,13.1,8.1,26.2,2.3,1.2,13.9,23.2,1,1.2,2.2,0.085,0.4,-0.1,0.3,0.7,,rolliry01
31,Kon Knueppel,20,CHO,SF,39,38,1269,16.3,0.638,0.589,0.2,3.5,14.1,8.9,17.2,1,0.6,13.3,22.2,2.3,0.7,3,0.115,2.4,-1.1,1.3,1.1,,knuepko01
32,Rudy Gobert,33,MIN,C,40,40,1268,17.7,0.693,0.004,0.567,13.8,25.3,19.7,7.7,0.9,4.6,14.5,12.3,2.9,2.1,5,0.188,0.2,0.9,1.1,1,,goberru01
33,Devin Booker,29,PHO,SG,37,37,1260,19.7,0.578,0.298,0.45,2.8,10.6,6.6,30.4,1.3,0.9,13,30.8,2.6,1.1,3.8,0.143,2.7,-0.8,1.9,1.3,,bookede01
34,VJ Edgecombe,20,PHI,SG,35,35,1253,13.5,0.533,0.433,0.167,5.1,11.3,8.1,17.6,2.1,1.3,10.5,19.5,1,1.4,2.3,0.089,-0.7,0.4,-0.3,0.6,,edgecvj01
