Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,31,31,36.4,10.4,22.4,0.464,3.3,10.2,0.327,7.1,12.2,0.578,0.538,9.3,11.8,0.79,0.9,6.9,7.9,8.8,1.6,0.5,4.6,2.7,33.4,,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,39,39,33.3,10.9,19.9,0.545,2,5,0.393,8.9,14.9,0.596,0.594,8.2,9.3,0.886,0.4,4.1,4.5,6.4,1.4,0.8,1.9,2.1,31.9,,gilgesh01
3,Tyrese Maxey,25,PHI,PG,37,37,39.4,10.6,22.2,0.476,3.7,9.1,0.405,6.9,13.1,0.526,0.56,5.6,6.4,0.877,0.2,4.2,4.4,6.6,1.8,0.9,2.5,2.1,30.5,,maxeyty01
4,Donovan Mitchell,29,CLE,SG,38,38,33.8,10.3,20.9,0.492,3.9,10.1,0.387,6.4,10.9,0.589,0.585,5.1,6.1,0.848,0.8,3.9,4.7,5.6,1.5,0.3,3,2.5,29.7,,mitchdo01
5,Nikola Jokić,30,DEN,C,32,32,34.6,10.6,17.5,0.605,2.1,4.8,0.435,8.5,12.7,0.67,0.665,6.3,7.4,0.853,3,9.1,12.2,11,1.4,0.8,3.5,2.8,29.6,,jokicni01
6,Jaylen Brown,29,BOS,SF,36,36,34.3,10.9,21.9,0.495,2.2,5.8,0.376,8.7,16.1,0.538,0.545,5.6,7.2,0.779,1.2,5.3,6.4,5,1,0.4,3.8,3.1,29.5,,brownja02
7,Giannis Antetokounmpo,31,MIL,PF,26,26,29.3,11.1,17.1,0.649,0.5,1.4,0.389,10.5,15.7,0.672,0.664,6.4,9.8,0.651,2.9,6.8,9.7,5.7,0.9,0.8,3.3,2.7,29.1,,antetgi01
8,Anthony Edwards,24,MIN,SG,33,33,34.9,10,19.9,0.5,3.3,8.2,0.409,6.6,11.8,0.563,0.584,5.6,7.1,0.787,0.6,4.4,5,3.8,1.3,0.8,2.7,1.8,28.9,,edwaran01
9,Jalen Brunson,29,NYK,PG,37,37,34.5,10.1,20.9,0.481,3,7.7,0.388,7.1,13.2,0.536,0.553,5.1,6,0.852,0.5,2.7,3.2,6.1,0.7,0.1,2.3,2.4,28.2,,brunsja01
10,Kawhi Leonard,34,LAC,SF,30,30,33.8,9.7,19.6,0.497,2.9,7.3,0.399,6.8,12.3,0.556,0.572,5.9,6.2,0.941,0.9,5.4,6.3,3.5,2.2,0.6,2.1,1.4,28.2,,leonaka01
11,Stephen Curry,37,GSW,PG,31,31,31.9,9.2,19.7,0.466,4.6,11.9,0.388,4.6,7.8,0.587,0.583,5.1,5.5,0.929,0.5,3.4,3.8,4.9,1.2,0.5,2.8,2,28.1,,curryst01
12,Lauri Markkanen,28,UTA,PF,33,33,36,9.5,19.7,0.483,2.9,8,0.365,6.6,11.7,0.563,0.557,6,6.8,0.884,2,5.2,7.2,2.2,1,0.5,1.6,2,27.9,,markkla01
13,Cade Cunningham,24,DET,PG,33,33,35.6,9.3,19.9,0.465,2.1,6.1,0.34,7.2,13.9,0.52,0.517,6.1,7.3,0.838,1.1,5.1,6.2,9.7,1.5,0.8,4,3.4,26.7,,cunnica01
14,Austin Reaves,27,LAL,SG,23,22,35.3,8.2,16.2,0.507,2.7,7.4,0.365,5.5,8.8,0.626,0.59,7.5,8.6,0.873,0.7,4.5,5.2,6.3,1,0.2,3.3,2.3,26.6,,reaveau01
15,Deni Avdija,25,POR,SF,40,40,35.4,7.9,17,0.468,2.3,6.5,0.355,5.6,10.5,0.537,0.535,7.9,9.9,0.801,1,6.1,7.1,6.9,0.9,0.6,3.9,2.8,26.1,,avdijde01
16,Kevin Durant,37,HOU,SF,35,35,36.4,9.3,17.8,0.521,2.2,5.4,0.4,7.1,12.4,0.574,0.582,5.4,6.1,0.892,0.4,5,5.4,4.5,0.6,1,3,2.2,26.1,,duranke01
17,Jamal Murray,28,DEN,PG,37,37,35.6,9.2,18.9,0.484,3.4,7.7,0.446,5.7,11.2,0.51,0.574,4,4.5,0.892,0.5,4.1,4.5,7.5,1,0.3,2.3,1.6,25.8,,murraja01
18,Michael Porter Jr.,27,BRK,SF,31,31,33.1,9.1,18.7,0.486,3.8,9.5,0.401,5.3,9.2,0.573,0.588,3.7,4.5,0.841,1.3,6.2,7.5,3.3,1,0.2,2.5,2.1,25.7,,portemi01
19,James Harden,36,LAC,PG,37,37,35.6,7.4,17.4,0.425,3.2,8.9,0.356,4.2,8.4,0.498,0.517,7.7,8.6,0.896,0.6,4.2,4.8,8,1.3,0.3,3.5,1.9,25.6,,hardeja01
20,Devin Booker,29,PHO,SG,37,37,34.1,8.3,18.2,0.454,1.6,5.4,0.303,6.6,12.8,0.518,0.499,7.1,8.2,0.861,0.9,3.2,4.1,6.5,0.9,0.3,3.3,2.7,25.2,,bookede01
21,Victor Wembanyama,22,SAS,C,26,17,29,8.4,16.4,0.514,1.5,4.2,0.352,7,12.2,0.569,0.559,5.7,6.8,0.836,1.9,9.1,11,3,0.9,2.7,2.9,2.8,24,,wembavi01
22,Norman Powell,32,MIA,SG,34,34,30.8,8,16.4,0.485,3.1,7.4,0.414,4.9,9.1,0.542,0.578,4.9,5.7,0.855,0.4,3.4,3.8,2.7,1.3,0.2,2,2.3,23.9,,powelno01
23,Keyonte George,22,UTA,PG,39,39,34.4,7.5,16.5,0.454,2.5,6.8,0.365,5,9.7,0.517,0.53,6.4,7.1,0.905,0.5,3.7,4.2,6.9,1,0.3,3.5,2.4,23.8,,georgke01
24,Pascal Siakam,31,IND,PF,40,40,33.9,8.8,18.3,0.482,1.7,4.6,0.37,7.1,13.7,0.52,0.529,4.3,6.2,0.685,1.7,5.2,6.9,3.9,1.3,0.4,2.2,2.6,23.6,,siakapa01
25,Joel Embiid,31,PHI,C,21,21,29.3,8,16.9,0.473,1,4.2,0.239,7,12.7,0.551,0.503,6.5,7.7,0.851,2,5,7,3.3,0.7,1.2,3.1,2.2,23.5,,embiijo01
26,Jalen Johnson,24,ATL,SF,38,38,35.3,8.7,16.8,0.52,1.6,4.5,0.36,7.1,12.3,0.578,0.568,4.3,5.4,0.791,1.4,8.7,10.1,8.1,1.3,0.5,3.4,2,23.4,,johnsja05
27,Franz Wagner,24,ORL,SF,24,24,33.4,7.8,15.9,0.49,1.5,4.2,0.36,6.3,11.8,0.535,0.537,5.6,6.8,0.823,1.5,4.6,6.1,3.7,1.2,0.4,1.8,2.2,22.7,,wagnefr01
28,LeBron James,41,LAL,SF,21,21,33.2,8.3,16.1,0.513,1.6,5,0.311,6.7,11.1,0.605,0.562,4.2,5.8,0.73,0.6,5.1,5.7,6.9,1.1,0.6,2.6,1.5,22.4,,jamesle01
29,Zion Williamson,25,NOP,PF,27,20,29.1,8.3,14.3,0.579,0,0.1,0,8.3,14.1,0.584,0.579,5.9,8.3,0.711,2.3,3.4,5.7,3.4,1.2,0.6,2.4,2.3,22.4,,willizi01
30,Trey Murphy III,25,NOP,SF,39,39,35.7,7.8,15.6,0.503,3.1,8,0.389,4.7,7.6,0.623,0.603,3.4,3.8,0.899,1.2,5.1,6.2,3.6,1.6,0.2,1.9,2.2,22.2,,murphtr02
31,Julius Randle,31,MIN,PF,41,41,33.4,7.7,15.6,0.494,1.6,4.8,0.338,6.1,10.9,0.562,0.545,5.2,6.4,0.803,1.7,5.5,7.1,5.7,1,0.1,2.5,2.7,22.2,,randlju01
32,Tyler Herro,26,MIA,SG,10,9,31.8,8.1,16.6,0.488,2,6,0.333,6.1,10.6,0.575,0.548,3.7,4.1,0.902,0.5,4.5,5,2.7,0.8,0.4,1.6,1.9,21.9,,herroty01
33,Brandon Ingram,28,TOR,SF,40,40,33.8,8.2,17.3,0.473,1.7,4.9,0.35,6.5,12.4,0.521,0.522,3.8,4.6,0.826,0.9,5.2,6.1,3.7,0.8,0.7,2.8,2,21.9,,ingrabr01
34,Alperen Şengün,23,HOU,C,30,30,34.4,8.4,16.4,0.509,0.7,2.3,0.304,7.7,14.1,0.542,0.53,4.3,6,0.721,2.9,6,8.9,6.6,1.4,1,3.2,3.3,21.7,,sengual01
35,Shaedon Sharpe,22,POR,SG,37,31,29.8,8.1,17.9,0.452,1.9,5.9,0.327,6.2,12,0.514,0.506,3.3,4.3,0.772,1.1,3.3,4.4,2.6,1.5,0.1,2.9,2,21.5,,sharpsh01
36,Dillon Brooks,30,PHO,SF,34,34,30.8,7.9,17.3,0.457,2.5,7.2,0.346,5.4,10,0.537,0.529,3,3.6,0.844,0.7,2.6,3.3,1.7,1.2,0.1,2,3.4,21.3,,brookdi01
37,Karl-Anthony Towns,30,NYK,C,37,37,32.4,6.8,14.5,0.468,1.6,4.7,0.353,5.1,9.8,0.523,0.525,5.8,6.7,0.863,2.9,8.4,11.2,3,0.9,0.6,2.6,3.5,21,,townska01
38,Paolo Banchero,23,ORL,PF,30,30,33.7,7.1,15.6,0.453,0.9,3.6,0.252,6.2,12,0.512,0.482,5.9,7.8,0.755,0.9,7.7,8.7,4.9,0.6,0.7,2.9,2.2,20.9,,banchpa01
39,Nickeil Alexander-Walker,27,ATL,SG,40,33,33,7.2,16,0.449,3,8,0.377,4.2,8,0.522,0.544,3.3,3.8,0.862,0.6,3,3.6,3.3,1.1,0.6,2,2.1,20.7,,alexani01
40,De'Aaron Fox,28,SAS,PG,31,31,32.6,7.5,16.1,0.466,2,6.1,0.326,5.5,10,0.552,0.528,3.5,4.3,0.811,0.8,3.4,4.2,5.8,1.3,0.3,2.5,2.3,20.5,,foxde01
