Rk,Team,Overall
1,Oklahoma City Thunder,34-7
2,Denver Nuggets,28-13
3,Detroit Pistons,28-10
4,Minnesota Timberwolves,27-14
5,San Antonio Spurs,27-13
6,New York Knicks,25-15
7,Toronto Raptors,25-17
8,Boston Celtics,24-15
9,Los Angeles Lakers,24-14
10,Phoenix Suns,24-16
11,Cleveland Cavaliers,23-19
12,Houston Rockets,23-14
13,Golden State Warriors,22-19
14,Orlando Magic,22-18
15,Philadelphia 76ers,22-17
16,Miami Heat,21-19
17,Atlanta Hawks,20-22
18,Chicago Bulls,19-21
19,Portland Trail Blazers,19-22
20,Los Angeles Clippers,17-23
21,Memphis Grizzlies,17-22
22,Milwaukee Bucks,17-23
23,Dallas Mavericks,15-26
24,Charlotte Hornets,14-26
25,Utah Jazz,14-26
26,Brooklyn Nets,11-27
27,Sacramento Kings,11-30
28,New Orleans Pelicans,10-33
29,Washington Wizards,10-29
30,Indiana Pacers,9-32
