Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference
Detroit Pistons (1),40,13,0.755,—,117.2,109.3,6.9,
Boston Celtics (2),35,19,0.648,5.5,115.3,108.4,5.98,
New York Knicks (3),35,20,0.636,6.0,118.0,111.9,5.53,
Cleveland Cavaliers (4),34,21,0.618,7.0,120.0,115.9,3.86,
Toronto Raptors (5),32,23,0.582,9.0,113.8,112.3,1.25,
Philadelphia 76ers (6),30,24,0.556,10.5,116.2,115.9,0.08,
Orlando Magic (7),28,25,0.528,12.0,115.1,115.2,0.08,
Miami Heat (8),29,27,0.518,12.5,119.6,117.2,2.62,
Charlotte Hornets (9),26,29,0.473,15.0,115.7,113.8,1.43,
Atlanta Hawks (10),26,30,0.464,15.5,117.3,118.6,-0.86,
Chicago Bulls (11),24,31,0.436,17.0,116.8,120.6,-4.04,
Milwaukee Bucks (12),23,30,0.434,17.0,111.8,115.2,-3.5,
Brooklyn Nets (13),15,38,0.283,25.0,107.7,114.9,-7.35,
Indiana Pacers (14),15,40,0.273,26.0,111.1,118.6,-6.81,
Washington Wizards (15),14,39,0.264,26.0,112.2,123.1,-10.73,
,42,14,0.75,—,119.7,108.0,11.19,Oklahoma City Thunder (1)
,38,16,0.704,3.0,118.1,112.2,6.09,San Antonio Spurs (2)
,35,20,0.636,6.5,120.4,116.3,3.17,Denver Nuggets (3)
,33,20,0.623,7.5,114.6,109.6,4.81,Houston Rockets (4)
,33,21,0.611,8.0,116.0,116.0,-0.22,Los Angeles Lakers (5)
,34,22,0.607,8.0,119.7,114.8,4.22,Minnesota Timberwolves (6)
,32,23,0.582,9.5,113.6,111.8,2.08,Phoenix Suns (7)
,29,26,0.527,12.5,115.5,113.7,2.07,Golden State Warriors (8)
,27,29,0.482,15.0,116.3,118.3,-1.06,Portland Trail Blazers (9)
,26,28,0.481,15.0,111.9,112.3,-0.15,Los Angeles Clippers (10)
,20,33,0.377,20.5,115.3,117.5,-2.14,Memphis Grizzlies (11)
,19,35,0.352,22.0,113.9,117.4,-3.36,Dallas Mavericks (12)
,18,38,0.321,24.0,118.3,125.9,-6.87,Utah Jazz (13)
,15,41,0.268,27.0,114.6,120.4,-5.07,New Orleans Pelicans (14)
,12,44,0.214,30.0,110.1,120.6,-9.38,Sacramento Kings (15)
