Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Shai Gilgeous-Alexander,27.0,OKC,PG,49.0,49.0,1632.0,534.0,964.0,0.554,87.0,223.0,0.39,447.0,741.0,0.603,0.599,403.0,452.0,0.892,27.0,191.0,218.0,314.0,64.0,38.0,103.0,101.0,1558.0,0.0,
2.0,Tyrese Maxey,25.0,PHI,PG,52.0,52.0,2008.0,524.0,1117.0,0.469,174.0,459.0,0.379,350.0,658.0,0.532,0.547,281.0,316.0,0.889,14.0,200.0,214.0,351.0,102.0,40.0,126.0,118.0,1503.0,0.0,
3.0,Donovan Mitchell,29.0,CLE,SG,51.0,51.0,1719.0,516.0,1060.0,0.487,185.0,492.0,0.376,331.0,568.0,0.583,0.574,261.0,306.0,0.853,41.0,188.0,229.0,302.0,79.0,15.0,159.0,125.0,1478.0,0.0,
4.0,Jaylen Brown,29.0,BOS,SF,49.0,49.0,1676.0,534.0,1105.0,0.483,102.0,293.0,0.348,432.0,812.0,0.532,0.529,265.0,342.0,0.775,57.0,279.0,336.0,229.0,49.0,20.0,176.0,136.0,1435.0,2.0,
5.0,Luka Dončić,26.0,LAL,PG,42.0,42.0,1492.0,437.0,923.0,0.473,149.0,432.0,0.345,288.0,491.0,0.587,0.554,356.0,456.0,0.781,32.0,297.0,329.0,360.0,61.0,19.0,179.0,102.0,1379.0,6.0,
6.0,Jalen Brunson,29.0,NYK,PG,50.0,50.0,1728.0,481.0,1024.0,0.47,146.0,390.0,0.374,335.0,634.0,0.528,0.541,243.0,287.0,0.847,26.0,140.0,166.0,305.0,36.0,5.0,110.0,116.0,1351.0,0.0,
7.0,Anthony Edwards,24.0,MIN,SG,46.0,46.0,1632.0,463.0,940.0,0.493,155.0,386.0,0.402,308.0,554.0,0.556,0.575,267.0,336.0,0.795,31.0,209.0,240.0,171.0,62.0,38.0,124.0,84.0,1348.0,0.0,
8.0,Kevin Durant,37.0,HOU,SF,50.0,50.0,1835.0,452.0,894.0,0.506,116.0,288.0,0.403,336.0,606.0,0.554,0.57,271.0,308.0,0.88,25.0,242.0,267.0,222.0,42.0,44.0,161.0,101.0,1291.0,0.0,
9.0,Jamal Murray,28.0,DEN,PG,50.0,50.0,1780.0,454.0,937.0,0.485,158.0,372.0,0.425,296.0,565.0,0.524,0.569,220.0,248.0,0.887,21.0,198.0,219.0,380.0,48.0,19.0,115.0,78.0,1286.0,0.0,
10.0,Julius Randle,31.0,MIN,PF,56.0,56.0,1882.0,438.0,891.0,0.492,87.0,268.0,0.325,351.0,623.0,0.563,0.54,288.0,350.0,0.823,94.0,297.0,391.0,302.0,62.0,14.0,144.0,159.0,1251.0,3.0,
