Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Shai Gilgeous-Alexander,26.0,OKC,PG,63.0,63.0,34.3,11.3,21.5,0.525,2.2,5.8,0.373,9.1,15.7,0.581,0.575,8.0,8.9,0.9,0.9,4.2,5.1,6.2,1.8,1.1,2.5,2.3,32.7,
2.0,Giannis Antetokounmpo,30.0,MIL,PF,51.0,51.0,33.9,12.3,20.3,0.605,0.2,0.8,0.19,12.1,19.5,0.622,0.608,6.1,10.3,0.595,2.3,9.7,12.0,5.8,0.8,1.2,3.3,2.5,30.9,
3.0,Nikola Jokić,29.0,DEN,C,59.0,59.0,36.4,11.1,19.2,0.577,1.9,4.5,0.43,9.1,14.7,0.622,0.627,4.8,5.9,0.809,2.9,10.1,13.0,10.5,1.8,0.7,3.3,2.2,28.9,
4.0,Anthony Edwards,23.0,MIN,SG,63.0,63.0,36.4,9.0,20.3,0.441,4.1,10.0,0.406,4.9,10.3,0.476,0.542,5.1,6.2,0.835,0.8,5.2,6.0,4.6,1.1,0.6,3.3,1.8,27.2,
5.0,Jayson Tatum,26.0,BOS,PF,60.0,60.0,36.5,9.2,20.3,0.455,3.6,10.2,0.355,5.6,10.1,0.556,0.544,5.1,6.3,0.804,0.7,8.2,8.9,5.8,1.1,0.5,2.9,2.2,27.2,
6.0,Luka Dončić,25.0,2TM,PG,34.0,34.0,35.1,9.1,20.6,0.442,3.3,9.6,0.343,5.8,10.9,0.53,0.522,5.4,7.1,0.759,0.8,7.5,8.4,7.9,1.9,0.4,3.7,2.6,26.9,
6.0,Luka Dončić,25.0,DAL,PG,22.0,22.0,35.7,9.8,21.2,0.464,3.4,9.6,0.354,6.4,11.5,0.555,0.544,5.1,6.6,0.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,
6.0,Luka Dončić,25.0,LAL,PG,12.0,12.0,34.1,7.8,19.4,0.399,3.1,9.6,0.322,4.7,9.8,0.475,0.479,5.9,7.9,0.747,1.0,7.4,8.4,8.0,1.8,0.4,4.2,2.7,24.5,
7.0,Kevin Durant,36.0,PHO,PF,52.0,52.0,37.1,9.8,18.5,0.527,2.5,6.1,0.409,7.3,12.4,0.585,0.595,4.9,5.9,0.832,0.4,5.8,6.1,4.3,0.8,1.3,3.0,1.7,26.9,
8.0,Jalen Brunson,28.0,NYK,PG,61.0,61.0,35.4,9.1,18.7,0.49,2.3,6.0,0.384,6.9,12.7,0.541,0.552,5.7,7.0,0.825,0.4,2.6,3.0,7.4,1.0,0.1,2.5,2.2,26.3,
9.0,Tyrese Maxey,24.0,PHI,PG,52.0,52.0,37.7,9.2,21.0,0.437,3.1,9.2,0.337,6.1,11.8,0.515,0.511,4.9,5.6,0.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3,
10.0,Devin Booker,28.0,PHO,SG,59.0,59.0,37.5,8.6,18.8,0.457,2.7,7.7,0.345,5.9,11.1,0.534,0.527,6.1,6.8,0.893,1.0,3.1,4.1,6.8,1.1,0.2,2.8,2.7,26.0,
11.0,Anthony Davis,31.0,2TM,PF,43.0,43.0,34.2,9.5,18.0,0.528,0.7,2.2,0.313,8.8,15.8,0.559,0.548,6.0,7.6,0.786,2.9,9.1,12.0,3.4,1.3,2.2,2.2,1.9,25.7,
11.0,Anthony Davis,31.0,LAL,C,42.0,42.0,34.3,9.5,18.0,0.528,0.7,2.2,0.298,8.9,15.8,0.56,0.546,6.0,7.6,0.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7,
11.0,Anthony Davis,31.0,DAL,PF,1.0,1.0,31.0,10.0,18.0,0.556,2.0,2.0,1.0,8.0,16.0,0.5,0.611,4.0,6.0,0.667,4.0,12.0,16.0,7.0,0.0,3.0,1.0,0.0,26.0,
12.0,LaMelo Ball,23.0,CHO,PG,41.0,41.0,32.3,8.8,21.9,0.403,3.8,11.6,0.331,5.0,10.3,0.483,0.491,4.1,5.0,0.828,1.0,4.3,5.3,7.0,1.2,0.3,3.5,3.4,25.6,
13.0,Cade Cunningham,23.0,DET,PG,60.0,60.0,35.3,9.5,20.5,0.463,2.2,6.2,0.361,7.3,14.3,0.508,0.518,4.4,5.1,0.857,0.8,5.3,6.1,9.3,1.0,0.8,4.6,2.7,25.6,
14.0,Damian Lillard,34.0,MIL,PG,53.0,53.0,36.2,7.9,17.4,0.453,3.5,9.1,0.378,4.4,8.3,0.537,0.553,6.2,6.8,0.922,0.5,4.2,4.7,7.1,1.2,0.2,2.9,1.7,25.5,
15.0,LeBron James,40.0,LAL,SF,58.0,58.0,34.9,9.6,18.5,0.517,2.3,5.9,0.384,7.3,12.6,0.58,0.579,3.6,4.7,0.77,1.0,7.2,8.2,8.5,0.9,0.6,3.9,1.5,25.0,
16.0,Kyrie Irving,32.0,DAL,SG,50.0,50.0,36.1,8.9,18.9,0.473,2.9,7.2,0.401,6.1,11.7,0.517,0.549,3.9,4.3,0.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,24.7,
17.0,Stephen Curry,36.0,GSW,PG,56.0,56.0,32.2,8.1,18.0,0.448,4.5,11.3,0.398,3.6,6.8,0.532,0.573,3.9,4.2,0.936,0.6,3.8,4.4,6.1,1.1,0.4,2.9,1.3,24.5,
18.0,Franz Wagner,23.0,ORL,SF,46.0,46.0,33.6,9.0,19.5,0.464,1.8,5.9,0.303,7.3,13.6,0.534,0.51,4.6,5.4,0.852,1.0,4.6,5.5,4.7,1.4,0.4,2.2,2.6,24.5,
19.0,Zion Williamson,24.0,NOP,PF,26.0,26.0,28.4,9.7,17.2,0.563,0.1,0.5,0.231,9.5,16.7,0.573,0.566,5.0,7.9,0.639,2.7,4.5,7.2,5.0,1.3,0.9,3.0,2.7,24.5,
20.0,Paolo Banchero,22.0,ORL,PF,32.0,32.0,33.9,8.3,18.8,0.44,1.8,5.7,0.317,6.5,13.1,0.494,0.488,5.9,8.4,0.703,1.1,5.8,6.9,4.8,0.8,0.7,3.0,2.2,24.3,
21.0,Victor Wembanyama,21.0,SAS,C,46.0,46.0,33.2,8.9,18.6,0.476,3.1,8.8,0.352,5.8,9.9,0.586,0.559,3.4,4.1,0.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3,24.3,
22.0,Donovan Mitchell,28.0,CLE,SG,60.0,60.0,31.3,8.4,18.6,0.451,3.5,9.0,0.384,4.9,9.5,0.514,0.544,4.0,4.9,0.819,0.7,3.6,4.3,4.8,1.3,0.2,2.1,2.0,24.2,
23.0,Karl-Anthony Towns,29.0,NYK,C,57.0,57.0,35.1,8.7,16.7,0.523,2.1,4.9,0.421,6.7,11.8,0.565,0.584,4.8,5.7,0.834,3.0,10.2,13.3,3.1,1.0,0.7,2.6,3.5,24.2,
