Rank_x,Player,Age_x,Team,Pos_x,G_x,GS_x,MP_per_game,FG_per_game,FGA_per_game,FG%_per_game,3P_per_game,3PA_per_game,3P%_per_game,2P_per_game,2PA_per_game,2P%_per_game,eFG%_per_game,FT_per_game,FTA_per_game,FT%_per_game,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,Awards_per_game,Season,Rank_y,Age_y,Pos_y,G_y,GS_y,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,Awards_advanced,Rank,Age,Pos,G,GS,MP_totals,FG_totals,FGA_totals,FG%_totals,3P_totals,3PA_totals,3P%_totals,2P_totals,2PA_totals,2P%_totals,eFG%_totals,FT_totals,FTA_totals,FT%_totals,ORB_totals,DRB_totals,TRB_totals,AST_totals,STL_totals,BLK_totals,TOV_totals,PF_totals,PTS_totals,Trp-Dbl_totals,Awards_totals,Tm,Record,Seed,win_pct
1.0,Shai Gilgeous-Alexander,26.0,OKC,PG,56.0,56.0,34.2,11.2,21.4,0.523,2.1,5.7,0.364,9.1,15.7,0.58,0.571,8.0,8.9,0.892,0.9,4.3,5.2,6.2,1.9,1.1,2.6,2.3,32.4,,2024-25,12.0,26.0,PG,56.0,56.0,1917.0,30.8,0.64,0.266,0.418,2.8,13.3,8.1,30.7,2.6,3.1,9.3,34.7,8.7,3.9,12.6,0.315,8.6,2.9,11.6,6.6,,1.0,26.0,PG,56.0,56.0,1917.0,627.0,1200.0,0.523,116.0,319.0,0.364,511.0,881.0,0.58,0.571,447.0,501.0,0.892,49.0,242.0,291.0,346.0,104.0,59.0,146.0,128.0,1817.0,0.0,,Oklahoma City Thunder,46-11,2.0,0.8070175438596491
2.0,Giannis Antetokounmpo,30.0,MIL,PF,44.0,44.0,34.2,12.5,20.4,0.61,0.2,0.8,0.194,12.3,19.6,0.628,0.614,6.0,10.4,0.577,2.3,9.8,12.0,5.8,0.8,1.3,3.5,2.5,31.0,,2024-25,88.0,30.0,PF,44.0,44.0,1506.0,29.8,0.622,0.04,0.508,7.3,29.6,18.8,33.6,1.1,3.5,12.3,36.2,4.1,2.4,6.6,0.21,6.1,2.0,8.1,3.8,,6.0,30.0,PF,44.0,44.0,1506.0,548.0,898.0,0.61,7.0,36.0,0.194,541.0,862.0,0.628,0.614,263.0,456.0,0.577,99.0,430.0,529.0,255.0,33.0,57.0,154.0,111.0,1366.0,5.0,,Milwaukee Bucks,32-24,10.0,0.5714285714285714
3.0,Nikola Jokić,29.0,DEN,C,52.0,52.0,36.0,11.1,19.3,0.575,2.0,4.5,0.445,9.1,14.8,0.614,0.627,4.9,6.0,0.821,3.0,9.6,12.6,10.4,1.8,0.7,3.2,2.1,29.2,,2024-25,20.0,29.0,C,52.0,52.0,1873.0,33.0,0.663,0.235,0.31,9.6,27.9,19.2,45.1,2.4,1.6,12.6,29.5,9.9,2.8,12.8,0.328,10.6,3.5,14.0,7.6,,3.0,29.0,C,52.0,52.0,1873.0,578.0,1006.0,0.575,105.0,236.0,0.445,473.0,770.0,0.614,0.627,256.0,312.0,0.821,155.0,501.0,656.0,540.0,94.0,34.0,165.0,111.0,1517.0,26.0,,Denver Nuggets,38-20,4.0,0.6551724137931034
4.0,Anthony Edwards,23.0,MIN,SG,57.0,57.0,36.8,9.1,20.9,0.436,4.1,10.2,0.406,5.0,10.7,0.465,0.535,5.1,6.1,0.833,0.8,5.2,6.0,4.6,1.2,0.6,3.5,1.9,27.5,,2024-25,2.0,23.0,SG,57.0,57.0,2097.0,19.2,0.582,0.487,0.292,2.5,15.4,9.0,21.4,1.6,1.6,12.9,31.9,2.5,2.7,5.1,0.118,4.0,-0.3,3.7,3.0,,2.0,23.0,SG,57.0,57.0,2097.0,520.0,1192.0,0.436,236.0,581.0,0.406,284.0,611.0,0.465,0.535,290.0,348.0,0.833,47.0,295.0,342.0,261.0,66.0,37.0,199.0,110.0,1566.0,0.0,,Minnesota Timberwolves,32-27,13.0,0.5423728813559322
5.0,Tyrese Maxey,24.0,PHI,PG,49.0,49.0,37.8,9.4,21.1,0.447,3.3,9.4,0.349,6.1,11.7,0.525,0.524,5.0,5.8,0.876,0.3,3.1,3.4,6.0,1.8,0.4,2.5,2.3,27.1,,2024-25,24.0,24.0,PG,49.0,49.0,1854.0,20.6,0.575,0.445,0.273,0.8,10.0,5.2,28.4,2.3,1.1,9.5,30.3,3.4,1.2,4.5,0.118,3.8,-1.0,2.8,2.2,,9.0,24.0,PG,49.0,49.0,1854.0,461.0,1032.0,0.447,160.0,459.0,0.349,301.0,573.0,0.525,0.524,247.0,282.0,0.876,13.0,154.0,167.0,295.0,87.0,20.0,121.0,113.0,1329.0,1.0,,Philadelphia 76ers,20-37,25.0,0.3508771929824561
6.0,Kevin Durant,36.0,PHO,PF,44.0,44.0,36.6,9.8,18.4,0.532,2.3,5.8,0.401,7.5,12.6,0.593,0.596,5.0,6.1,0.824,0.4,5.6,6.0,4.2,0.9,1.4,3.0,1.7,26.9,,2024-25,62.0,36.0,PF,44.0,44.0,1612.0,21.7,0.639,0.317,0.33,1.1,16.3,9.0,20.0,1.2,3.5,12.4,29.0,2.9,1.1,4.0,0.12,3.9,-0.5,3.4,2.2,,23.0,36.0,PF,44.0,44.0,1612.0,431.0,810.0,0.532,103.0,257.0,0.401,328.0,553.0,0.593,0.596,220.0,267.0,0.824,16.0,248.0,264.0,185.0,38.0,61.0,131.0,76.0,1185.0,0.0,,Phoenix Suns,27-30,18.0,0.47368421052631576
7.0,Jayson Tatum,26.0,BOS,PF,54.0,54.0,36.4,9.0,20.0,0.453,3.6,10.1,0.356,5.4,9.9,0.552,0.543,5.1,6.4,0.8,0.6,8.2,8.8,5.7,1.1,0.5,2.8,2.2,26.8,,2024-25,5.0,26.0,PF,54.0,54.0,1963.0,22.0,0.588,0.506,0.32,1.7,24.3,13.0,25.7,1.6,1.3,10.8,30.6,4.2,3.2,7.4,0.182,4.6,0.9,5.5,3.7,,5.0,26.0,PF,54.0,54.0,1963.0,488.0,1078.0,0.453,194.0,545.0,0.356,294.0,533.0,0.552,0.543,276.0,345.0,0.8,31.0,442.0,473.0,309.0,62.0,28.0,149.0,117.0,1446.0,2.0,,Boston Celtics,41-16,3.0,0.7192982456140351
11.0,LaMelo Ball,23.0,CHO,PG,36.0,36.0,32.3,9.1,22.1,0.411,3.9,11.6,0.333,5.2,10.4,0.497,0.498,4.3,5.2,0.83,0.9,4.1,5.1,7.1,1.3,0.3,3.4,3.2,26.3,,2024-25,179.0,23.0,PG,36.0,36.0,1162.0,20.4,0.54,0.526,0.237,3.0,14.2,8.4,43.2,1.9,0.9,12.4,36.5,1.2,1.1,2.2,0.091,4.7,-0.5,4.2,1.8,,53.0,23.0,PG,36.0,36.0,1162.0,326.0,794.0,0.411,139.0,418.0,0.333,187.0,376.0,0.497,0.498,156.0,188.0,0.83,34.0,149.0,183.0,256.0,46.0,11.0,124.0,116.0,947.0,0.0,,Charlotte Hornets,14-42,27.0,0.25
12.0,Devin Booker,28.0,PHO,SG,51.0,51.0,37.3,8.6,18.9,0.452,2.6,7.7,0.343,5.9,11.3,0.527,0.522,6.4,7.1,0.895,0.9,3.1,4.0,6.7,1.1,0.3,2.7,2.5,26.1,,2024-25,15.0,28.0,SG,51.0,51.0,1900.0,20.2,0.592,0.405,0.376,2.9,8.7,5.9,29.6,1.4,0.7,10.8,29.3,4.6,0.5,5.2,0.13,3.2,-2.0,1.2,1.5,,8.0,28.0,SG,51.0,51.0,1900.0,437.0,966.0,0.452,134.0,391.0,0.343,303.0,575.0,0.527,0.522,325.0,363.0,0.895,48.0,156.0,204.0,344.0,55.0,14.0,136.0,129.0,1333.0,0.0,,Phoenix Suns,27-30,18.0,0.47368421052631576
13.0,Jalen Brunson,28.0,NYK,PG,56.0,56.0,35.2,9.0,18.4,0.491,2.3,5.9,0.395,6.7,12.5,0.536,0.554,5.6,6.8,0.82,0.4,2.4,2.9,7.4,0.9,0.1,2.5,2.2,26.0,,2024-25,4.0,28.0,PG,56.0,56.0,1969.0,22.1,0.607,0.32,0.372,1.4,7.8,4.6,32.3,1.3,0.2,10.3,29.3,6.5,0.9,7.4,0.18,4.8,-1.8,3.0,2.5,,4.0,28.0,PG,56.0,56.0,1969.0,505.0,1029.0,0.491,130.0,329.0,0.395,375.0,700.0,0.536,0.554,314.0,383.0,0.82,23.0,137.0,160.0,416.0,51.0,5.0,138.0,122.0,1454.0,0.0,,New York Knicks,37-20,5.0,0.6491228070175439
14.0,Cade Cunningham,23.0,DET,PG,53.0,53.0,35.5,9.6,20.8,0.46,2.3,6.4,0.365,7.2,14.4,0.502,0.516,4.3,5.0,0.85,0.8,5.5,6.3,9.5,1.0,0.8,4.4,2.6,25.8,,2024-25,17.0,23.0,PG,53.0,53.0,1882.0,20.5,0.559,0.308,0.241,2.6,16.9,9.8,43.9,1.4,2.1,16.1,32.7,2.4,2.1,4.6,0.116,3.9,-0.1,3.8,2.7,,7.0,23.0,PG,53.0,53.0,1882.0,508.0,1105.0,0.46,124.0,340.0,0.365,384.0,765.0,0.502,0.516,226.0,266.0,0.85,44.0,290.0,334.0,501.0,53.0,41.0,235.0,139.0,1366.0,8.0,,Detroit Pistons,32-26,11.0,0.5517241379310345
16.0,Anthony Davis,31.0,LAL,C,42.0,42.0,34.3,9.5,18.0,0.528,0.7,2.2,0.298,8.9,15.8,0.56,0.546,6.0,7.6,0.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7,,2024-25,97.0,31.0,C,42.0,42.0,1440.0,27.2,0.601,0.124,0.423,9.6,29.0,19.6,16.9,1.8,5.8,9.4,30.3,3.7,2.6,6.3,0.21,4.5,1.4,5.9,2.9,,34.0,31.0,C,42.0,42.0,1440.0,400.0,758.0,0.528,28.0,94.0,0.298,372.0,664.0,0.56,0.546,253.0,321.0,0.788,119.0,380.0,499.0,141.0,54.0,90.0,93.0,82.0,1081.0,0.0,,Los Angeles Lakers,34-21,7.0,0.6181818181818182
18.0,Damian Lillard,34.0,MIL,PG,46.0,46.0,36.4,7.8,17.5,0.449,3.5,9.2,0.38,4.4,8.3,0.525,0.549,6.4,7.0,0.919,0.6,4.2,4.7,7.5,1.2,0.2,2.9,1.8,25.6,,2024-25,54.0,34.0,PG,46.0,46.0,1676.0,21.9,0.622,0.524,0.398,1.7,11.9,7.0,31.5,1.6,0.5,12.5,28.1,4.9,1.5,6.4,0.184,4.9,-0.9,3.9,2.5,,24.0,34.0,PG,46.0,46.0,1676.0,361.0,804.0,0.449,160.0,421.0,0.38,201.0,383.0,0.525,0.549,294.0,320.0,0.919,26.0,192.0,218.0,345.0,54.0,9.0,135.0,82.0,1176.0,2.0,,Milwaukee Bucks,32-24,10.0,0.5714285714285714
19.0,Franz Wagner,23.0,ORL,SF,39.0,39.0,33.1,9.1,19.5,0.467,1.9,6.3,0.307,7.2,13.3,0.542,0.516,4.9,5.7,0.852,1.0,4.7,5.7,4.9,1.4,0.4,2.3,2.5,25.1,,2024-25,146.0,23.0,SF,39.0,39.0,1291.0,22.1,0.568,0.32,0.293,3.4,17.4,9.9,29.1,2.1,1.3,9.5,32.0,2.2,2.1,4.3,0.159,3.9,1.0,4.9,2.3,,47.0,23.0,SF,39.0,39.0,1291.0,356.0,762.0,0.467,75.0,244.0,0.307,281.0,518.0,0.542,0.516,190.0,223.0,0.852,40.0,183.0,223.0,191.0,54.0,17.0,90.0,99.0,977.0,0.0,,Orlando Magic,29-30,17.0,0.4915254237288136
20.0,Karl-Anthony Towns,29.0,NYK,C,52.0,52.0,35.1,9.0,16.9,0.532,2.1,4.8,0.432,6.9,12.1,0.571,0.593,4.8,5.7,0.837,3.1,10.4,13.5,3.2,1.0,0.8,2.6,3.5,24.8,,2024-25,31.0,29.0,C,52.0,52.0,1823.0,24.8,0.639,0.284,0.335,10.3,33.2,21.9,14.1,1.4,2.0,11.7,27.1,5.5,2.6,8.1,0.212,4.4,-0.1,4.3,2.9,,16.0,29.0,C,52.0,52.0,1823.0,468.0,880.0,0.532,108.0,250.0,0.432,360.0,630.0,0.571,0.593,247.0,295.0,0.837,161.0,539.0,700.0,168.0,53.0,39.0,134.0,180.0,1291.0,0.0,,New York Knicks,37-20,5.0,0.6491228070175439
21.0,Kyrie Irving,32.0,DAL,SG,46.0,46.0,36.5,9.0,18.8,0.476,2.9,7.2,0.409,6.0,11.7,0.518,0.554,3.8,4.2,0.907,1.2,3.6,4.7,4.7,1.3,0.4,2.2,2.1,24.7,,2024-25,53.0,32.0,SG,46.0,46.0,1678.0,20.0,0.597,0.381,0.223,3.6,10.3,7.0,20.7,1.7,1.0,9.7,26.9,3.7,1.3,5.0,0.142,3.9,-0.6,3.4,2.3,,29.0,32.0,SG,46.0,46.0,1678.0,413.0,867.0,0.476,135.0,330.0,0.409,278.0,537.0,0.518,0.554,175.0,193.0,0.907,54.0,164.0,218.0,218.0,60.0,19.0,102.0,96.0,1136.0,0.0,,Dallas Mavericks,31-27,14.0,0.5344827586206896
22.0,LeBron James,40.0,LAL,SF,51.0,51.0,34.6,9.5,18.3,0.518,2.3,5.8,0.395,7.2,12.5,0.574,0.58,3.5,4.5,0.769,0.9,6.9,7.7,8.8,0.9,0.6,3.9,1.4,24.7,,2024-25,39.0,40.0,SF,51.0,51.0,1764.0,23.4,0.608,0.315,0.245,3.0,21.8,12.7,43.8,1.3,1.6,16.1,30.7,3.7,2.0,5.7,0.156,5.3,0.7,6.0,3.6,,17.0,40.0,SF,51.0,51.0,1764.0,483.0,933.0,0.518,116.0,294.0,0.395,367.0,639.0,0.574,0.58,176.0,229.0,0.769,45.0,350.0,395.0,451.0,46.0,30.0,198.0,73.0,1258.0,10.0,,Los Angeles Lakers,34-21,7.0,0.6181818181818182
25.0,De'Aaron Fox,27.0,SAC,PG,45.0,45.0,37.0,9.2,19.6,0.469,2.0,6.4,0.322,7.2,13.3,0.539,0.521,4.5,5.5,0.829,1.0,4.0,5.0,6.1,1.5,0.4,3.0,2.6,25.0,,2024-25,8.0,27.0,PG,45.0,45.0,1663.0,18.9,0.567,0.324,0.279,3.0,11.9,7.5,25.8,1.9,1.2,11.8,28.7,2.3,1.4,3.7,0.106,2.0,-0.9,1.1,1.3,,12.0,27.0,PG,45.0,45.0,1663.0,414.0,883.0,0.469,92.0,286.0,0.322,322.0,597.0,0.539,0.521,204.0,246.0,0.829,45.0,180.0,225.0,276.0,66.0,20.0,133.0,118.0,1124.0,0.0,,Sacramento Kings,29-28,16.0,0.5087719298245614
28.0,Victor Wembanyama,21.0,SAS,C,46.0,46.0,33.2,8.9,18.6,0.476,3.1,8.8,0.352,5.8,9.9,0.586,0.559,3.4,4.1,0.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3,24.3,,2024-25,79.0,21.0,C,46.0,46.0,1527.0,24.3,0.594,0.47,0.221,5.7,29.1,17.5,18.8,1.6,10.2,13.7,30.4,1.1,3.0,4.1,0.13,3.5,2.9,6.4,3.2,,32.0,21.0,C,46.0,46.0,1527.0,408.0,857.0,0.476,142.0,403.0,0.352,266.0,454.0,0.586,0.559,158.0,189.0,0.836,82.0,424.0,506.0,168.0,52.0,176.0,149.0,105.0,1116.0,1.0,,San Antonio Spurs,24-31,21.0,0.43636363636363634
29.0,Donovan Mitchell,28.0,CLE,SG,54.0,54.0,31.2,8.5,18.6,0.456,3.6,9.2,0.396,4.9,9.5,0.514,0.553,3.6,4.4,0.818,0.7,3.6,4.3,4.8,1.4,0.2,2.0,2.0,24.2,,2024-25,50.0,28.0,SG,54.0,54.0,1687.0,21.5,0.588,0.492,0.234,2.7,12.0,7.5,22.9,2.1,0.6,8.9,30.7,4.1,2.1,6.1,0.175,4.4,-0.2,4.2,2.7,,10.0,28.0,SG,54.0,54.0,1687.0,459.0,1007.0,0.456,196.0,495.0,0.396,263.0,512.0,0.514,0.553,193.0,236.0,0.818,40.0,192.0,232.0,258.0,74.0,11.0,108.0,109.0,1307.0,0.0,,Cleveland Cavaliers,47-10,1.0,0.8245614035087719
