Rank_x,Player,Age_x,Team,Pos_x,G_x,GS_x,MP_per_game,FG_per_game,FGA_per_game,FG%_per_game,3P_per_game,3PA_per_game,3P%_per_game,2P_per_game,2PA_per_game,2P%_per_game,eFG%_per_game,FT_per_game,FTA_per_game,FT%_per_game,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,Awards_per_game,Season,Rank_y,Age_y,Pos_y,G_y,GS_y,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,Awards_advanced,Rank,Age,Pos,G,GS,MP_totals,FG_totals,FGA_totals,FG%_totals,3P_totals,3PA_totals,3P%_totals,2P_totals,2PA_totals,2P%_totals,eFG%_totals,FT_totals,FTA_totals,FT%_totals,ORB_totals,DRB_totals,TRB_totals,AST_totals,STL_totals,BLK_totals,TOV_totals,PF_totals,PTS_totals,Trp-Dbl_totals,Awards_totals,Tm,Record,Seed,win_pct
1.0,Shai Gilgeous-Alexander,26.0,OKC,PG,63.0,63.0,34.3,11.3,21.5,0.525,2.2,5.8,0.373,9.1,15.7,0.581,0.575,8.0,8.9,0.9,0.9,4.2,5.1,6.2,1.8,1.1,2.5,2.3,32.7,,2024-25,10.0,26.0,PG,63.0,63.0,2158.0,31.0,0.644,0.27,0.414,2.9,12.8,7.9,30.5,2.5,3.1,9.1,34.6,10.1,4.1,14.2,0.315,8.8,2.7,11.5,7.4,,1.0,26.0,PG,63.0,63.0,2158.0,711.0,1354.0,0.525,136.0,365.0,0.373,575.0,989.0,0.581,0.575,505.0,561.0,0.9,58.0,264.0,322.0,391.0,113.0,67.0,160.0,142.0,2063.0,0.0,,Oklahoma City Thunder,53-12,2.0,0.8153846153846154
2.0,Giannis Antetokounmpo,30.0,MIL,PF,51.0,51.0,33.9,12.3,20.3,0.605,0.2,0.8,0.19,12.1,19.5,0.622,0.608,6.1,10.3,0.595,2.3,9.7,12.0,5.8,0.8,1.2,3.3,2.5,30.9,,2024-25,69.0,30.0,PF,51.0,51.0,1730.0,30.2,0.621,0.041,0.507,7.7,29.5,19.0,33.8,1.1,3.3,11.7,36.1,5.2,2.9,8.0,0.223,6.4,2.2,8.6,4.6,,6.0,30.0,PF,51.0,51.0,1730.0,627.0,1037.0,0.605,8.0,42.0,0.19,619.0,995.0,0.622,0.608,313.0,526.0,0.595,119.0,495.0,614.0,298.0,40.0,61.0,168.0,125.0,1575.0,6.0,,Milwaukee Bucks,36-27,9.0,0.5714285714285714
3.0,Nikola Jokić,29.0,DEN,C,59.0,59.0,36.4,11.1,19.2,0.577,1.9,4.5,0.43,9.1,14.7,0.622,0.627,4.8,5.9,0.809,2.9,10.1,13.0,10.5,1.8,0.7,3.3,2.2,28.9,,2024-25,13.0,29.0,C,59.0,59.0,2148.0,32.3,0.662,0.234,0.31,9.2,29.0,19.6,44.8,2.3,1.6,13.0,29.1,10.9,3.2,14.1,0.316,10.1,3.5,13.6,8.4,,3.0,29.0,C,59.0,59.0,2148.0,653.0,1132.0,0.577,114.0,265.0,0.43,539.0,867.0,0.622,0.627,284.0,351.0,0.809,172.0,596.0,768.0,619.0,104.0,40.0,193.0,132.0,1704.0,29.0,,Denver Nuggets,42-23,4.0,0.6461538461538462
4.0,Anthony Edwards,23.0,MIN,SG,63.0,63.0,36.4,9.0,20.3,0.441,4.1,10.0,0.406,4.9,10.3,0.476,0.542,5.1,6.2,0.835,0.8,5.2,6.0,4.6,1.1,0.6,3.3,1.8,27.2,,2024-25,3.0,23.0,SG,63.0,63.0,2296.0,19.6,0.59,0.494,0.303,2.4,15.6,9.1,21.4,1.5,1.5,12.5,31.3,3.1,2.9,6.0,0.126,4.2,-0.2,4.0,3.5,,2.0,23.0,SG,63.0,63.0,2296.0,566.0,1282.0,0.441,257.0,633.0,0.406,309.0,649.0,0.476,0.542,324.0,388.0,0.835,49.0,328.0,377.0,289.0,72.0,38.0,207.0,116.0,1713.0,0.0,,Minnesota Timberwolves,37-29,11.0,0.5606060606060606
5.0,Jayson Tatum,26.0,BOS,PF,60.0,60.0,36.5,9.2,20.3,0.455,3.6,10.2,0.355,5.6,10.1,0.556,0.544,5.1,6.3,0.804,0.7,8.2,8.9,5.8,1.1,0.5,2.9,2.2,27.2,,2024-25,6.0,26.0,PF,60.0,60.0,2192.0,22.1,0.588,0.502,0.31,2.0,24.3,13.1,26.2,1.5,1.3,11.2,31.1,4.6,3.5,8.1,0.177,4.6,0.9,5.5,4.2,,4.0,26.0,PF,60.0,60.0,2192.0,554.0,1218.0,0.455,217.0,612.0,0.355,337.0,606.0,0.556,0.544,304.0,378.0,0.804,40.0,491.0,531.0,349.0,68.0,32.0,175.0,134.0,1629.0,2.0,,Boston Celtics,47-18,3.0,0.7230769230769231
7.0,Kevin Durant,36.0,PHO,PF,52.0,52.0,37.1,9.8,18.5,0.527,2.5,6.1,0.409,7.3,12.4,0.585,0.595,4.9,5.9,0.832,0.4,5.8,6.1,4.3,0.8,1.3,3.0,1.7,26.9,,2024-25,42.0,36.0,PF,52.0,52.0,1930.0,21.3,0.638,0.331,0.321,1.2,16.5,9.2,19.9,1.1,3.3,12.5,28.7,3.5,1.2,4.6,0.115,3.8,-0.7,3.1,2.5,,14.0,36.0,PF,52.0,52.0,1930.0,507.0,962.0,0.527,130.0,318.0,0.409,377.0,644.0,0.585,0.595,257.0,309.0,0.832,20.0,299.0,319.0,226.0,44.0,68.0,157.0,90.0,1401.0,0.0,,Phoenix Suns,30-35,18.0,0.46153846153846156
8.0,Jalen Brunson,28.0,NYK,PG,61.0,61.0,35.4,9.1,18.7,0.49,2.3,6.0,0.384,6.9,12.7,0.541,0.552,5.7,7.0,0.825,0.4,2.6,3.0,7.4,1.0,0.1,2.5,2.2,26.3,,2024-25,9.0,28.0,PG,61.0,61.0,2162.0,22.1,0.606,0.321,0.373,1.3,8.1,4.8,32.5,1.3,0.3,10.4,29.6,6.9,1.2,8.1,0.18,4.8,-1.5,3.3,2.9,,5.0,28.0,PG,61.0,61.0,2162.0,558.0,1138.0,0.49,140.0,365.0,0.384,418.0,773.0,0.541,0.552,350.0,424.0,0.825,25.0,156.0,181.0,452.0,58.0,6.0,153.0,132.0,1606.0,0.0,,New York Knicks,41-23,5.0,0.640625
9.0,Tyrese Maxey,24.0,PHI,PG,52.0,52.0,37.7,9.2,21.0,0.437,3.1,9.2,0.337,6.1,11.8,0.515,0.511,4.9,5.6,0.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3,,2024-25,39.0,24.0,PG,52.0,52.0,1960.0,19.7,0.562,0.438,0.265,0.8,9.7,5.1,28.2,2.3,1.1,9.2,30.0,3.0,1.1,4.1,0.101,3.2,-1.2,2.1,2.0,,17.0,24.0,PG,52.0,52.0,1960.0,477.0,1091.0,0.437,161.0,478.0,0.337,316.0,613.0,0.515,0.511,254.0,289.0,0.879,15.0,159.0,174.0,317.0,91.0,21.0,124.0,116.0,1369.0,1.0,,Philadelphia 76ers,22-42,25.0,0.34375
10.0,Devin Booker,28.0,PHO,SG,59.0,59.0,37.5,8.6,18.8,0.457,2.7,7.7,0.345,5.9,11.1,0.534,0.527,6.1,6.8,0.893,1.0,3.1,4.1,6.8,1.1,0.2,2.8,2.7,26.0,,2024-25,4.0,28.0,SG,59.0,59.0,2210.0,19.7,0.594,0.409,0.362,3.0,8.8,6.0,29.4,1.4,0.6,11.5,29.1,5.1,0.5,5.6,0.122,2.8,-2.1,0.7,1.5,,8.0,28.0,SG,59.0,59.0,2210.0,508.0,1112.0,0.457,157.0,455.0,0.345,351.0,657.0,0.534,0.527,359.0,402.0,0.893,58.0,183.0,241.0,404.0,62.0,14.0,167.0,158.0,1532.0,0.0,,Phoenix Suns,30-35,18.0,0.46153846153846156
11.0,Anthony Davis,31.0,LAL,C,42.0,42.0,34.3,9.5,18.0,0.528,0.7,2.2,0.298,8.9,15.8,0.56,0.546,6.0,7.6,0.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7,,2024-25,125.0,31.0,C,42.0,42.0,1440.0,27.2,0.601,0.124,0.423,9.6,28.7,19.5,17.1,1.8,5.9,9.4,30.3,3.7,2.7,6.4,0.213,4.5,1.5,6.0,2.9,,37.0,31.0,C,42.0,42.0,1440.0,400.0,758.0,0.528,28.0,94.0,0.298,372.0,664.0,0.56,0.546,253.0,321.0,0.788,119.0,380.0,499.0,141.0,54.0,90.0,93.0,82.0,1081.0,0.0,,Los Angeles Lakers,40-23,6.0,0.6349206349206349
